backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
qwen,multimodal,dissonance_82_full_multimodal.json,3,0.07658708095550537,0.15279674530029297,0.023638486862182617,0.09336483478546143,Excited,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,4,0.10328328609466553,0.1484813690185547,-0.2935888171195984,0.03656506538391113,Excited,Sad
qwen,multimodal,dissonance_82_full_multimodal.json,5,0.10646438598632812,-0.025629639625549316,-0.09998291730880737,0.05535531044006348,Neutral,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,6,0.0873802900314331,0.08503985404968262,0.1017465591430664,0.04104483127593994,Neutral,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,7,0.04571330547332764,0.1492701768875122,0.09394896030426025,-0.06342405080795288,Tense,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,8,-0.08306372165679932,0.17283260822296143,0.13304173946380615,0.37278711795806885,Angry,Tense
qwen,multimodal,dissonance_82_full_multimodal.json,9,-0.11356532573699951,0.22756540775299072,-0.04989534616470337,0.12273359298706055,Angry,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,10,0.04707503318786621,0.17324554920196533,0.4659764766693115,0.28624534606933594,Tense,Excited
qwen,multimodal,dissonance_83_full_multimodal.json,1,-0.15812015533447266,0.1373666524887085,0.3687117099761963,0.11972975730895996,Angry,Happy
qwen,multimodal,dissonance_83_full_multimodal.json,2,0.017368793487548828,0.2879762649536133,0.4210878610610962,0.21846508979797363,Tense,Excited
qwen,multimodal,dissonance_83_full_multimodal.json,3,-0.0756303071975708,0.14865386486053467,-0.11477196216583252,-0.15806061029434204,Angry,Depressed
qwen,multimodal,dissonance_83_full_multimodal.json,4,-0.1011892557144165,0.08018600940704346,-0.24773895740509033,-0.13408243656158447,Neutral,Depressed
qwen,multimodal,dissonance_83_full_multimodal.json,5,0.21758615970611572,0.09133720397949219,0.41197144985198975,0.2033393383026123,Excited,Excited
qwen,multimodal,dissonance_83_full_multimodal.json,6,0.3260984420776367,0.12045443058013916,0.2030864953994751,0.19750666618347168,Happy,Excited
qwen,multimodal,dissonance_83_full_multimodal.json,7,0.0764322280883789,0.17560064792633057,-0.2083885669708252,-0.05194294452667236,Excited,Sad
qwen,multimodal,dissonance_83_full_multimodal.json,8,0.16888976097106934,0.09927165508270264,0.14222466945648193,0.02113056182861328,Excited,Neutral
qwen,multimodal,dissonance_83_full_multimodal.json,9,0.040292978286743164,0.07754409313201904,0.07766604423522949,0.12193727493286133,Neutral,Neutral
qwen,multimodal,dissonance_83_full_multimodal.json,10,0.2222503423690796,0.06171095371246338,0.0023038387298583984,0.061328887939453125,Happy,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,1,-0.27417945861816406,0.17478704452514648,-0.2387099266052246,-0.07282650470733643,Angry,Sad
qwen,multimodal,dissonance_84_full_multimodal.json,2,-0.11550664901733398,0.22981476783752441,0.16508078575134277,0.11933386325836182,Angry,Excited
qwen,multimodal,dissonance_84_full_multimodal.json,3,0.002423524856567383,0.2086639404296875,0.08828496932983398,-0.02857232093811035,Tense,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,4,-0.11149418354034424,0.1808539628982544,-0.01157444715499878,0.17885124683380127,Angry,Tense
qwen,multimodal,dissonance_84_full_multimodal.json,5,-0.025455832481384277,0.06022346019744873,0.127974271774292,0.0509645938873291,Neutral,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,6,0.031130313873291016,0.11500954627990723,0.008727192878723145,0.0697857141494751,Neutral,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,7,0.012907266616821289,0.09202790260314941,0.12218689918518066,0.06163763999938965,Neutral,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,8,0.15150439739227295,0.07114028930664062,0.042871952056884766,-0.03821355104446411,Excited,Neutral
qwen,multimodal,dissonance_84_full_multimodal.json,9,0.17308175563812256,0.038571953773498535,0.12949371337890625,-0.11892932653427124,Happy,Content
qwen,multimodal,dissonance_84_full_multimodal.json,10,0.12660038471221924,0.10769820213317871,0.22505927085876465,0.09775435924530029,Excited,Excited
qwen,multimodal,dissonance_85_full_multimodal.json,1,-0.2758702039718628,0.15060627460479736,-0.19345402717590332,-0.1980835199356079,Angry,Depressed
qwen,multimodal,dissonance_85_full_multimodal.json,2,-0.03214132785797119,0.1535797119140625,0.0050040483474731445,0.13023686408996582,Tense,Neutral
qwen,multimodal,dissonance_85_full_multimodal.json,3,-0.07804954051971436,0.10957872867584229,-0.3176044225692749,0.25112223625183105,Neutral,Angry
qwen,multimodal,dissonance_85_full_multimodal.json,4,-0.014462113380432129,0.08455026149749756,-0.01985931396484375,-0.003524184226989746,Neutral,Neutral
qwen,multimodal,dissonance_85_full_multimodal.json,5,-0.024365544319152832,0.02895677089691162,0.16116559505462646,0.14103293418884277,Neutral,Excited
qwen,multimodal,dissonance_85_full_multimodal.json,6,0.1177588701248169,0.09433090686798096,-0.039618074893951416,0.010109424591064453,Excited,Neutral
qwen,multimodal,dissonance_85_full_multimodal.json,7,0.17843890190124512,0.1288365125656128,-0.004712283611297607,0.03675436973571777,Excited,Neutral
qwen,multimodal,dissonance_85_full_multimodal.json,8,0.08767712116241455,0.14606249332427979,-0.0009005069732666016,0.14838647842407227,Excited,Neutral
qwen,multimodal,dissonance_85_full_multimodal.json,9,0.13233458995819092,0.14099645614624023,0.2168266773223877,0.17796111106872559,Excited,Excited
qwen,multimodal,dissonance_85_full_multimodal.json,10,-0.00017952919006347656,0.12719571590423584,0.16807222366333008,0.1443006992340088,Neutral,Excited
qwen,multimodal,dissonance_86_full_multimodal.json,1,-0.24568450450897217,0.22709739208221436,-0.1836543083190918,0.32021617889404297,Angry,Angry
qwen,multimodal,dissonance_86_full_multimodal.json,2,-0.033676981925964355,0.21737706661224365,-0.03175896406173706,0.15996110439300537,Tense,Tense
qwen,multimodal,dissonance_86_full_multimodal.json,3,-0.14585959911346436,0.14181852340698242,-0.07959228754043579,0.11913764476776123,Angry,Neutral
qwen,multimodal,dissonance_86_full_multimodal.json,4,0.09094107151031494,0.15822982788085938,-0.08711361885070801,0.24638569355010986,Excited,Tense
qwen,multimodal,dissonance_86_full_multimodal.json,5,-0.16556048393249512,0.09249544143676758,-0.13450193405151367,0.09312868118286133,Angry,Angry
qwen,multimodal,dissonance_86_full_multimodal.json,6,-0.003990650177001953,0.17338287830352783,0.006475925445556641,0.15918397903442383,Tense,Tense
qwen,multimodal,dissonance_86_full_multimodal.json,7,0.08151304721832275,0.05806255340576172,0.07363533973693848,0.17782306671142578,Neutral,Tense
qwen,multimodal,dissonance_86_full_multimodal.json,8,0.2184429168701172,0.11529994010925293,0.25697028636932373,0.06138801574707031,Excited,Happy
qwen,multimodal,dissonance_86_full_multimodal.json,9,0.08001983165740967,0.11314904689788818,0.11528921127319336,0.08158421516418457,Neutral,Neutral
qwen,multimodal,dissonance_86_full_multimodal.json,10,0.07243001461029053,0.07952606678009033,-0.030572891235351562,-0.06660014390945435,Neutral,Neutral
qwen,multimodal,dissonance_87_full_multimodal.json,1,-0.24414050579071045,0.24969494342803955,-0.48639386892318726,-0.21384811401367188,Angry,Depressed
qwen,multimodal,dissonance_87_full_multimodal.json,2,-0.10442602634429932,0.1991046667098999,-0.21998673677444458,0.0037047863006591797,Angry,Sad
qwen,multimodal,dissonance_87_full_multimodal.json,3,-0.01008749008178711,0.022902250289916992,-0.0005525350570678711,0.2684285640716553,Neutral,Tense
qwen,multimodal,dissonance_87_full_multimodal.json,4,-0.040720343589782715,0.021798014640808105,0.011664628982543945,0.26478803157806396,Neutral,Tense
qwen,multimodal,dissonance_87_full_multimodal.json,5,-0.006654024124145508,0.096504807472229,0.13189876079559326,0.20834839344024658,Neutral,Excited
qwen,multimodal,dissonance_87_full_multimodal.json,6,0.17835462093353271,0.07194650173187256,0.10915398597717285,0.09372508525848389,Happy,Neutral
qwen,multimodal,dissonance_87_full_multimodal.json,7,0.11593306064605713,0.1452960968017578,0.350683331489563,0.23261761665344238,Excited,Excited
qwen,multimodal,dissonance_87_full_multimodal.json,8,-0.12292873859405518,0.08431851863861084,-0.018422365188598633,0.05529665946960449,Neutral,Neutral
qwen,multimodal,dissonance_87_full_multimodal.json,9,0.1535428762435913,0.08665478229522705,0.2209489345550537,0.19176149368286133,Excited,Excited
qwen,multimodal,dissonance_87_full_multimodal.json,10,0.13837039470672607,0.19640791416168213,0.24595391750335693,0.11409103870391846,Excited,Excited
qwen,multimodal,dissonance_88_full_multimodal.json,1,0.008346796035766602,0.21314620971679688,-0.07982295751571655,-0.07741820812225342,Tense,Neutral
qwen,multimodal,dissonance_88_full_multimodal.json,2,-0.22397196292877197,0.11372077465057373,-0.16048473119735718,-0.2374202013015747,Angry,Depressed
qwen,multimodal,dissonance_88_full_multimodal.json,3,-0.08214986324310303,0.18409156799316406,-0.15805703401565552,0.05286359786987305,Angry,Sad
